,episode,timesteps,penalties,score
287,287,58,5,-82
288,288,19,1,-7
289,289,129,3,-135
290,290,62,4,-77
291,291,187,6,-220
292,292,165,4,-180
293,293,132,5,-156
294,294,52,2,-49
295,295,270,8,-321
296,296,72,2,-69
297,297,92,2,-89
298,298,146,3,-152
299,299,103,4,-118
300,300,42,0,-21
301,301,221,8,-272
302,302,141,8,-192
303,303,266,14,-371
304,304,116,6,-149
305,305,93,2,-90
306,306,92,3,-98
307,307,60,4,-75
308,308,10,2,-7
309,309,99,3,-105
310,310,119,7,-161
311,311,114,3,-120
312,312,75,5,-99
313,313,241,10,-310
314,314,37,0,-16
315,315,51,2,-48
316,316,135,4,-150
317,317,169,5,-193
318,318,143,1,-131
319,319,142,6,-175
320,320,243,9,-303
321,321,104,2,-101
322,322,221,2,-218
323,323,20,1,-8
324,324,126,3,-132
325,325,16,0,5
326,326,187,2,-184
327,327,131,8,-182
328,328,44,0,-23
329,329,170,7,-212
330,330,81,2,-78
331,331,175,8,-226
332,332,172,9,-232
333,333,131,5,-155
334,334,88,2,-85
335,335,88,6,-121
336,336,135,3,-141
337,337,132,6,-165
338,338,45,3,-51
339,339,169,3,-175
340,340,166,6,-199
341,341,69,1,-57
342,342,192,5,-216
343,343,59,1,-47
344,344,13,0,8
345,345,35,0,-14
346,346,128,8,-179
347,347,163,2,-160
348,348,149,3,-155
349,349,30,0,-9
350,350,139,5,-163
351,351,12,0,9
352,352,149,7,-191
353,353,140,6,-173
354,354,141,7,-183
355,355,89,1,-77
356,356,165,4,-180
357,357,78,3,-84
358,358,127,5,-151
359,359,110,4,-125
360,360,54,0,-33
361,361,106,2,-103
362,362,103,3,-109
363,363,38,1,-26
364,364,140,4,-155
365,365,138,3,-144
366,366,136,6,-169
367,367,163,1,-151
368,368,119,8,-170
369,369,64,0,-43
370,370,104,6,-137
371,371,72,1,-60
372,372,29,0,-8
373,373,44,3,-50
374,374,82,2,-79
375,375,143,2,-140
376,376,88,3,-94
377,377,95,1,-83
378,378,141,3,-147
379,379,110,2,-107
380,380,219,6,-252
381,381,99,2,-96
382,382,198,10,-267
383,383,120,4,-135
384,384,124,3,-130
385,385,12,0,9
386,386,19,0,2
387,387,69,1,-57
388,388,100,2,-97
389,389,124,2,-121
390,390,119,4,-134
391,391,9,1,3
392,392,14,1,-2
393,393,35,3,-41
394,394,144,3,-150
395,395,13,0,8
396,396,80,3,-86
397,397,40,1,-28
398,398,28,1,-16
399,399,18,0,3
400,400,39,3,-45
401,401,92,1,-80
402,402,118,2,-115
403,403,128,7,-170
404,404,108,1,-96
405,405,120,7,-162
406,406,156,6,-189
407,407,40,1,-28
408,408,19,1,-7
409,409,141,10,-210
410,410,43,1,-31
411,411,86,2,-83
412,412,70,2,-67
413,413,60,3,-66
414,414,121,3,-127
415,415,81,1,-69
416,416,16,2,-13
417,417,110,7,-152
418,418,44,0,-23
419,419,35,1,-23
420,420,70,1,-58
421,421,136,5,-160
422,422,43,0,-22
423,423,52,1,-40
424,424,46,3,-52
425,425,97,1,-85
426,426,41,2,-38
427,427,166,4,-181
428,428,107,4,-122
429,429,83,4,-98
430,430,11,0,10
431,431,100,4,-115
432,432,99,1,-87
433,433,67,3,-73
434,434,28,0,-7
435,435,147,7,-189
436,436,83,4,-98
437,437,39,2,-36
438,438,108,5,-132
439,439,235,11,-313
440,440,86,3,-92
441,441,31,0,-10
442,442,51,3,-57
443,443,22,2,-19
444,444,168,2,-165
445,445,49,1,-37
446,446,76,1,-64
447,447,22,0,-1
448,448,31,0,-10
449,449,140,5,-164
450,450,157,5,-181
451,451,129,4,-144
452,452,31,0,-10
453,453,55,3,-61
454,454,71,1,-59
455,455,109,3,-115
456,456,177,4,-192
457,457,67,2,-64
458,458,48,4,-63
459,459,80,0,-59
460,460,58,3,-64
461,461,87,4,-102
462,462,26,0,-5
463,463,33,1,-21
464,464,16,0,5
465,465,61,2,-58
466,466,96,4,-111
467,467,38,1,-26
468,468,96,3,-102
469,469,32,2,-29
470,470,145,4,-160
471,471,35,2,-32
472,472,9,0,12
473,473,65,5,-89
474,474,132,4,-147
475,475,95,3,-101
476,476,24,1,-12
477,477,58,2,-55
478,478,15,1,-3
479,479,130,4,-145
480,480,76,2,-73
481,481,101,9,-161
482,482,93,5,-117
483,483,76,3,-82
484,484,21,0,0
485,485,108,4,-123
486,486,106,3,-112
487,487,136,6,-169
488,488,67,0,-46
489,489,7,0,14
