,episode,timesteps,penalties,score
29498,29498,11,0,10
29499,29499,17,1,-5
29500,29500,15,2,-12
29501,29501,7,0,14
29502,29502,7,0,14
29503,29503,16,0,5
29504,29504,10,1,2
29505,29505,13,0,8
29506,29506,17,1,-5
29507,29507,16,0,5
29508,29508,11,0,10
29509,29509,13,0,8
29510,29510,11,0,10
29511,29511,10,0,11
29512,29512,19,1,-7
29513,29513,16,0,5
29514,29514,11,1,1
29515,29515,9,0,12
29516,29516,15,0,6
29517,29517,11,0,10
29518,29518,20,1,-8
29519,29519,19,1,-7
29520,29520,8,0,13
29521,29521,19,0,2
29522,29522,16,1,-4
29523,29523,19,0,2
29524,29524,14,1,-2
29525,29525,18,1,-6
29526,29526,11,0,10
29527,29527,10,0,11
29528,29528,10,1,2
29529,29529,14,0,7
29530,29530,16,0,5
29531,29531,18,1,-6
29532,29532,14,0,7
29533,29533,14,1,-2
29534,29534,16,3,-22
29535,29535,18,2,-15
29536,29536,11,1,1
29537,29537,20,1,-8
29538,29538,16,0,5
29539,29539,17,2,-14
29540,29540,20,1,-8
29541,29541,14,0,7
29542,29542,14,1,-2
29543,29543,19,0,2
29544,29544,11,0,10
29545,29545,19,0,2
29546,29546,12,0,9
29547,29547,16,0,5
29548,29548,14,2,-11
29549,29549,12,1,0
29550,29550,21,0,0
29551,29551,13,1,-1
29552,29552,11,0,10
29553,29553,13,0,8
29554,29554,11,0,10
29555,29555,15,0,6
29556,29556,12,0,9
29557,29557,16,0,5
29558,29558,16,0,5
29559,29559,12,0,9
29560,29560,14,1,-2
29561,29561,16,1,-4
29562,29562,11,1,1
29563,29563,13,0,8
29564,29564,14,0,7
29565,29565,15,1,-3
29566,29566,16,0,5
29567,29567,8,0,13
29568,29568,19,0,2
29569,29569,15,1,-3
29570,29570,13,0,8
29571,29571,20,0,1
29572,29572,14,0,7
29573,29573,13,0,8
29574,29574,11,0,10
29575,29575,17,2,-14
29576,29576,14,1,-2
29577,29577,12,1,0
29578,29578,14,0,7
29579,29579,14,0,7
29580,29580,16,1,-4
29581,29581,12,1,0
29582,29582,12,0,9
29583,29583,16,0,5
29584,29584,15,1,-3
29585,29585,16,0,5
29586,29586,17,2,-14
29587,29587,11,0,10
29588,29588,10,0,11
29589,29589,10,0,11
29590,29590,8,0,13
29591,29591,13,1,-1
29592,29592,19,0,2
29593,29593,10,0,11
29594,29594,15,0,6
29595,29595,13,1,-1
29596,29596,10,1,2
29597,29597,12,0,9
29598,29598,7,0,14
29599,29599,15,0,6
29600,29600,13,0,8
29601,29601,9,1,3
29602,29602,16,1,-4
29603,29603,19,0,2
29604,29604,11,0,10
29605,29605,14,0,7
29606,29606,14,0,7
29607,29607,20,1,-8
29608,29608,12,0,9
29609,29609,13,0,8
29610,29610,16,0,5
29611,29611,16,0,5
29612,29612,12,0,9
29613,29613,13,1,-1
29614,29614,15,0,6
29615,29615,16,1,-4
29616,29616,12,0,9
29617,29617,15,0,6
29618,29618,20,0,1
29619,29619,13,2,-10
29620,29620,14,0,7
29621,29621,14,0,7
29622,29622,15,1,-3
29623,29623,18,1,-6
29624,29624,17,0,4
29625,29625,12,0,9
29626,29626,17,1,-5
29627,29627,15,0,6
29628,29628,16,1,-4
29629,29629,16,1,-4
29630,29630,13,0,8
29631,29631,10,0,11
29632,29632,15,0,6
29633,29633,15,1,-3
29634,29634,11,0,10
29635,29635,15,0,6
29636,29636,13,0,8
29637,29637,14,0,7
29638,29638,14,1,-2
29639,29639,11,0,10
29640,29640,13,0,8
29641,29641,9,0,12
29642,29642,18,0,3
29643,29643,18,0,3
29644,29644,19,0,2
29645,29645,15,0,6
29646,29646,13,0,8
29647,29647,16,1,-4
29648,29648,12,0,9
29649,29649,14,0,7
29650,29650,12,0,9
29651,29651,14,0,7
29652,29652,16,0,5
29653,29653,13,0,8
29654,29654,15,0,6
29655,29655,15,1,-3
29656,29656,16,3,-22
29657,29657,18,0,3
29658,29658,17,0,4
29659,29659,15,1,-3
29660,29660,18,1,-6
29661,29661,20,0,1
29662,29662,8,1,4
29663,29663,13,0,8
29664,29664,19,0,2
29665,29665,20,1,-8
29666,29666,11,0,10
29667,29667,12,0,9
29668,29668,14,0,7
29669,29669,13,0,8
29670,29670,12,0,9
29671,29671,16,2,-13
29672,29672,13,1,-1
29673,29673,14,0,7
29674,29674,15,0,6
29675,29675,13,0,8
29676,29676,20,1,-8
29677,29677,16,1,-4
29678,29678,15,1,-3
29679,29679,16,0,5
29680,29680,8,0,13
29681,29681,14,0,7
29682,29682,10,0,11
29683,29683,19,1,-7
29684,29684,20,0,1
29685,29685,18,0,3
29686,29686,13,0,8
29687,29687,8,0,13
29688,29688,21,1,-9
29689,29689,11,0,10
29690,29690,15,1,-3
29691,29691,11,1,1
29692,29692,12,0,9
29693,29693,18,1,-6
29694,29694,13,0,8
29695,29695,18,1,-6
29696,29696,16,0,5
29697,29697,19,1,-7
29698,29698,16,0,5
29699,29699,12,0,9
29700,29700,14,1,-2
29701,29701,13,0,8
29702,29702,16,0,5
29703,29703,9,1,3
29704,29704,13,2,-10
29705,29705,14,0,7
29706,29706,15,0,6
29707,29707,16,0,5
29708,29708,17,0,4
29709,29709,13,0,8
29710,29710,17,0,4
29711,29711,14,0,7
29712,29712,15,1,-3
29713,29713,14,0,7
29714,29714,13,0,8
29715,29715,13,0,8
29716,29716,17,0,4
29717,29717,11,0,10
29718,29718,12,0,9
29719,29719,15,0,6
29720,29720,19,1,-7
29721,29721,16,0,5
29722,29722,18,1,-6
29723,29723,16,1,-4
29724,29724,15,0,6
29725,29725,12,0,9
29726,29726,17,1,-5
29727,29727,15,0,6
29728,29728,11,0,10
29729,29729,17,0,4
29730,29730,21,1,-9
29731,29731,18,0,3
29732,29732,10,0,11
29733,29733,14,0,7
29734,29734,15,1,-3
29735,29735,9,0,12
29736,29736,8,0,13
29737,29737,13,0,8
29738,29738,12,0,9
29739,29739,15,0,6
29740,29740,11,1,1
29741,29741,13,1,-1
29742,29742,10,0,11
29743,29743,9,0,12
29744,29744,17,0,4
29745,29745,16,0,5
29746,29746,17,1,-5
29747,29747,15,0,6
29748,29748,20,1,-8
29749,29749,10,1,2
29750,29750,7,0,14
29751,29751,16,2,-13
29752,29752,16,0,5
29753,29753,11,1,1
29754,29754,13,0,8
29755,29755,23,3,-29
29756,29756,6,0,15
29757,29757,12,0,9
29758,29758,8,0,13
29759,29759,13,0,8
29760,29760,15,0,6
29761,29761,9,0,12
29762,29762,14,1,-2
29763,29763,19,1,-7
29764,29764,11,0,10
29765,29765,14,1,-2
29766,29766,12,0,9
29767,29767,9,2,-6
29768,29768,14,0,7
29769,29769,16,0,5
29770,29770,12,1,0
29771,29771,14,0,7
29772,29772,15,1,-3
29773,29773,12,0,9
29774,29774,17,1,-5
29775,29775,13,0,8
29776,29776,16,1,-4
29777,29777,10,1,2
29778,29778,8,0,13
29779,29779,14,0,7
29780,29780,20,0,1
29781,29781,9,1,3
29782,29782,18,0,3
29783,29783,9,0,12
29784,29784,19,1,-7
29785,29785,17,0,4
29786,29786,19,0,2
29787,29787,16,1,-4
29788,29788,15,1,-3
29789,29789,17,1,-5
29790,29790,11,0,10
29791,29791,12,1,0
29792,29792,18,1,-6
29793,29793,21,0,0
29794,29794,17,0,4
29795,29795,12,1,0
29796,29796,10,0,11
29797,29797,21,1,-9
29798,29798,17,0,4
29799,29799,12,0,9
29800,29800,10,0,11
29801,29801,13,0,8
29802,29802,12,0,9
29803,29803,17,0,4
29804,29804,16,0,5
29805,29805,12,1,0
29806,29806,9,0,12
29807,29807,19,1,-7
29808,29808,15,1,-3
29809,29809,10,0,11
29810,29810,13,0,8
29811,29811,13,0,8
29812,29812,13,0,8
29813,29813,14,0,7
29814,29814,12,0,9
29815,29815,15,0,6
29816,29816,18,0,3
29817,29817,13,1,-1
29818,29818,16,3,-22
29819,29819,10,0,11
29820,29820,19,2,-16
29821,29821,20,1,-8
29822,29822,17,3,-23
29823,29823,15,1,-3
29824,29824,7,0,14
29825,29825,19,1,-7
29826,29826,20,2,-17
29827,29827,13,0,8
29828,29828,10,0,11
29829,29829,14,1,-2
29830,29830,15,1,-3
29831,29831,12,0,9
29832,29832,13,0,8
29833,29833,14,0,7
29834,29834,18,0,3
29835,29835,13,0,8
29836,29836,16,0,5
29837,29837,19,2,-16
29838,29838,16,0,5
29839,29839,18,0,3
29840,29840,9,0,12
29841,29841,10,0,11
29842,29842,12,0,9
29843,29843,13,0,8
29844,29844,20,0,1
29845,29845,12,1,0
29846,29846,21,1,-9
29847,29847,18,0,3
29848,29848,16,1,-4
29849,29849,18,0,3
29850,29850,12,0,9
29851,29851,18,0,3
29852,29852,15,0,6
29853,29853,19,0,2
29854,29854,14,0,7
29855,29855,18,1,-6
29856,29856,22,1,-10
29857,29857,16,1,-4
29858,29858,17,0,4
29859,29859,12,0,9
29860,29860,16,0,5
29861,29861,15,1,-3
29862,29862,17,0,4
29863,29863,15,1,-3
29864,29864,17,0,4
29865,29865,12,1,0
29866,29866,17,1,-5
29867,29867,15,1,-3
29868,29868,13,1,-1
29869,29869,12,1,0
29870,29870,10,0,11
29871,29871,19,0,2
29872,29872,16,0,5
29873,29873,17,0,4
29874,29874,17,0,4
29875,29875,16,0,5
29876,29876,13,1,-1
29877,29877,12,0,9
29878,29878,14,0,7
29879,29879,16,2,-13
29880,29880,21,2,-18
29881,29881,18,0,3
29882,29882,12,0,9
29883,29883,14,0,7
29884,29884,16,0,5
29885,29885,13,0,8
29886,29886,18,1,-6
29887,29887,13,0,8
29888,29888,17,0,4
29889,29889,14,1,-2
29890,29890,15,2,-12
29891,29891,10,0,11
29892,29892,12,0,9
29893,29893,14,0,7
29894,29894,15,0,6
29895,29895,13,1,-1
29896,29896,17,0,4
29897,29897,15,0,6
29898,29898,19,1,-7
29899,29899,15,0,6
29900,29900,12,0,9
29901,29901,14,0,7
29902,29902,12,0,9
29903,29903,18,0,3
29904,29904,13,0,8
29905,29905,17,0,4
29906,29906,15,0,6
29907,29907,12,0,9
29908,29908,15,0,6
29909,29909,14,0,7
29910,29910,10,0,11
29911,29911,12,0,9
29912,29912,11,0,10
29913,29913,20,1,-8
29914,29914,17,1,-5
29915,29915,16,3,-22
29916,29916,13,0,8
29917,29917,18,1,-6
29918,29918,17,1,-5
29919,29919,12,0,9
29920,29920,14,1,-2
29921,29921,16,2,-13
29922,29922,16,1,-4
29923,29923,17,0,4
29924,29924,14,1,-2
29925,29925,20,1,-8
29926,29926,17,2,-14
29927,29927,14,0,7
29928,29928,16,0,5
29929,29929,16,1,-4
29930,29930,11,0,10
29931,29931,7,0,14
29932,29932,13,0,8
29933,29933,18,0,3
29934,29934,16,0,5
29935,29935,17,0,4
29936,29936,14,0,7
29937,29937,15,0,6
29938,29938,19,3,-25
29939,29939,13,0,8
29940,29940,11,0,10
29941,29941,10,0,11
29942,29942,9,0,12
29943,29943,18,1,-6
29944,29944,15,0,6
29945,29945,10,1,2
29946,29946,13,0,8
29947,29947,10,0,11
29948,29948,23,2,-20
29949,29949,17,1,-5
29950,29950,11,0,10
29951,29951,13,0,8
29952,29952,15,1,-3
29953,29953,15,0,6
29954,29954,23,0,-2
29955,29955,11,0,10
29956,29956,17,0,4
29957,29957,15,0,6
29958,29958,15,0,6
29959,29959,10,0,11
29960,29960,17,0,4
29961,29961,10,0,11
29962,29962,13,0,8
29963,29963,16,0,5
29964,29964,14,0,7
29965,29965,16,0,5
29966,29966,19,0,2
29967,29967,14,0,7
29968,29968,10,1,2
29969,29969,22,1,-10
29970,29970,11,0,10
29971,29971,13,0,8
29972,29972,9,0,12
29973,29973,15,0,6
29974,29974,17,0,4
29975,29975,15,0,6
29976,29976,19,2,-16
29977,29977,22,1,-10
29978,29978,17,1,-5
29979,29979,16,1,-4
29980,29980,10,1,2
29981,29981,16,1,-4
29982,29982,11,1,1
29983,29983,12,1,0
29984,29984,20,0,1
29985,29985,16,0,5
29986,29986,22,2,-19
29987,29987,18,2,-15
29988,29988,13,0,8
29989,29989,16,0,5
29990,29990,15,2,-12
29991,29991,14,0,7
29992,29992,16,0,5
29993,29993,14,0,7
29994,29994,13,0,8
29995,29995,15,0,6
29996,29996,13,0,8
29997,29997,11,0,10
29998,29998,20,1,-8
29999,29999,15,1,-3
30000,30000,17,0,4
30001,30001,14,0,7
30002,30002,12,1,0
30003,30003,12,1,0
30004,30004,16,2,-13
30005,30005,11,0,10
30006,30006,12,0,9
30007,30007,18,1,-6
30008,30008,12,0,9
30009,30009,16,0,5
30010,30010,19,1,-7
30011,30011,16,1,-4
30012,30012,12,0,9
30013,30013,14,1,-2
30014,30014,18,0,3
30015,30015,22,1,-10
30016,30016,14,1,-2
30017,30017,14,1,-2
30018,30018,17,1,-5
30019,30019,14,0,7
30020,30020,12,0,9
30021,30021,16,0,5
30022,30022,15,0,6
30023,30023,12,0,9
30024,30024,17,0,4
30025,30025,14,1,-2
30026,30026,10,0,11
30027,30027,17,1,-5
30028,30028,14,0,7
30029,30029,8,0,13
30030,30030,17,1,-5
30031,30031,18,2,-15
30032,30032,11,0,10
30033,30033,19,1,-7
30034,30034,14,1,-2
30035,30035,14,0,7
30036,30036,13,0,8
30037,30037,8,0,13
30038,30038,18,1,-6
30039,30039,12,0,9
30040,30040,19,0,2
30041,30041,17,0,4
30042,30042,12,0,9
30043,30043,18,1,-6
30044,30044,10,0,11
30045,30045,13,0,8
30046,30046,15,0,6
30047,30047,11,0,10
30048,30048,13,0,8
30049,30049,19,1,-7
30050,30050,17,0,4
30051,30051,15,0,6
30052,30052,21,0,0
30053,30053,24,1,-12
30054,30054,11,0,10
30055,30055,13,1,-1
30056,30056,21,1,-9
30057,30057,11,0,10
30058,30058,21,0,0
30059,30059,15,2,-12
30060,30060,11,0,10
30061,30061,16,2,-13
30062,30062,14,0,7
30063,30063,17,0,4
30064,30064,16,0,5
30065,30065,19,0,2
30066,30066,14,0,7
30067,30067,17,0,4
30068,30068,25,1,-13
30069,30069,17,0,4
30070,30070,16,0,5
30071,30071,13,0,8
30072,30072,18,0,3
30073,30073,15,1,-3
30074,30074,8,0,13
30075,30075,13,0,8
30076,30076,16,0,5
30077,30077,19,0,2
30078,30078,18,1,-6
30079,30079,17,0,4
30080,30080,7,0,14
30081,30081,16,0,5
30082,30082,13,0,8
30083,30083,16,0,5
30084,30084,16,1,-4
30085,30085,21,0,0
30086,30086,22,2,-19
30087,30087,13,0,8
30088,30088,14,1,-2
30089,30089,18,0,3
30090,30090,14,0,7
30091,30091,12,1,0
30092,30092,20,0,1
30093,30093,10,2,-7
30094,30094,14,1,-2
30095,30095,15,0,6
30096,30096,9,0,12
30097,30097,15,0,6
30098,30098,16,0,5
30099,30099,13,0,8
30100,30100,11,1,1
30101,30101,10,0,11
30102,30102,10,0,11
30103,30103,18,0,3
30104,30104,15,0,6
30105,30105,18,2,-15
30106,30106,15,0,6
30107,30107,13,1,-1
30108,30108,12,0,9
30109,30109,25,2,-22
30110,30110,15,0,6
30111,30111,20,0,1
30112,30112,18,0,3
30113,30113,11,1,1
30114,30114,11,0,10
30115,30115,19,0,2
30116,30116,12,2,-9
30117,30117,12,0,9
30118,30118,11,1,1
30119,30119,16,1,-4
30120,30120,15,1,-3
30121,30121,17,0,4
30122,30122,11,0,10
30123,30123,14,0,7
30124,30124,13,0,8
30125,30125,9,1,3
30126,30126,18,1,-6
30127,30127,21,3,-27
30128,30128,18,0,3
30129,30129,24,1,-12
30130,30130,20,1,-8
30131,30131,15,1,-3
30132,30132,16,1,-4
30133,30133,16,2,-13
30134,30134,17,1,-5
30135,30135,13,0,8
30136,30136,13,1,-1
30137,30137,17,0,4
30138,30138,15,1,-3
30139,30139,16,0,5
30140,30140,16,1,-4
30141,30141,19,0,2
30142,30142,15,0,6
30143,30143,18,1,-6
30144,30144,7,0,14
30145,30145,13,0,8
30146,30146,11,0,10
30147,30147,10,0,11
30148,30148,15,1,-3
30149,30149,20,0,1
30150,30150,24,0,-3
30151,30151,13,0,8
30152,30152,16,1,-4
30153,30153,13,0,8
30154,30154,17,1,-5
30155,30155,18,1,-6
30156,30156,15,1,-3
30157,30157,11,0,10
30158,30158,16,0,5
30159,30159,13,0,8
30160,30160,8,0,13
30161,30161,22,1,-10
30162,30162,16,1,-4
30163,30163,14,0,7
30164,30164,21,1,-9
30165,30165,20,1,-8
30166,30166,17,1,-5
30167,30167,17,1,-5
30168,30168,22,2,-19
30169,30169,10,0,11
30170,30170,7,0,14
30171,30171,14,0,7
30172,30172,15,0,6
30173,30173,13,0,8
30174,30174,13,0,8
30175,30175,11,0,10
30176,30176,16,1,-4
30177,30177,14,0,7
30178,30178,20,0,1
30179,30179,15,0,6
30180,30180,17,1,-5
30181,30181,17,0,4
30182,30182,20,3,-26
30183,30183,9,0,12
30184,30184,15,1,-3
30185,30185,19,1,-7
30186,30186,17,0,4
30187,30187,13,0,8
30188,30188,12,0,9
30189,30189,15,0,6
30190,30190,16,0,5
30191,30191,9,0,12
30192,30192,15,1,-3
30193,30193,17,0,4
30194,30194,14,0,7
30195,30195,15,1,-3
30196,30196,9,0,12
30197,30197,14,0,7
30198,30198,14,1,-2
30199,30199,16,1,-4
30200,30200,17,0,4
30201,30201,15,1,-3
30202,30202,16,1,-4
30203,30203,17,0,4
30204,30204,21,1,-9
30205,30205,10,1,2
30206,30206,15,0,6
30207,30207,18,1,-6
30208,30208,10,0,11
30209,30209,17,0,4
30210,30210,12,0,9
30211,30211,21,0,0
30212,30212,17,0,4
30213,30213,15,1,-3
30214,30214,13,0,8
30215,30215,16,0,5
30216,30216,22,1,-10
30217,30217,12,0,9
30218,30218,21,0,0
30219,30219,13,0,8
30220,30220,13,0,8
30221,30221,13,0,8
30222,30222,12,0,9
30223,30223,14,0,7
30224,30224,18,0,3
30225,30225,12,1,0
30226,30226,15,0,6
30227,30227,17,0,4
30228,30228,12,0,9
30229,30229,16,0,5
30230,30230,17,0,4
30231,30231,18,0,3
30232,30232,16,0,5
30233,30233,13,0,8
30234,30234,13,0,8
30235,30235,23,1,-11
30236,30236,14,0,7
30237,30237,12,0,9
30238,30238,12,0,9
30239,30239,17,0,4
30240,30240,8,0,13
30241,30241,17,2,-14
30242,30242,16,1,-4
30243,30243,18,2,-15
30244,30244,15,0,6
30245,30245,6,0,15
30246,30246,14,2,-11
30247,30247,12,0,9
30248,30248,17,1,-5
30249,30249,13,0,8
30250,30250,16,0,5
30251,30251,18,1,-6
30252,30252,10,0,11
30253,30253,15,1,-3
30254,30254,14,0,7
30255,30255,11,0,10
30256,30256,16,0,5
30257,30257,14,0,7
30258,30258,18,0,3
30259,30259,13,0,8
30260,30260,11,0,10
30261,30261,11,0,10
30262,30262,14,1,-2
30263,30263,16,0,5
30264,30264,16,0,5
30265,30265,22,0,-1
30266,30266,12,0,9
30267,30267,20,2,-17
30268,30268,15,0,6
30269,30269,14,0,7
30270,30270,15,0,6
30271,30271,16,0,5
30272,30272,16,0,5
30273,30273,18,0,3
30274,30274,16,0,5
30275,30275,10,0,11
30276,30276,16,0,5
30277,30277,21,0,0
30278,30278,17,1,-5
30279,30279,14,0,7
30280,30280,10,0,11
30281,30281,15,0,6
30282,30282,10,0,11
30283,30283,17,0,4
30284,30284,8,0,13
30285,30285,17,0,4
30286,30286,13,0,8
30287,30287,12,1,0
30288,30288,15,0,6
30289,30289,16,0,5
30290,30290,12,0,9
30291,30291,19,1,-7
30292,30292,12,0,9
30293,30293,15,0,6
30294,30294,14,0,7
30295,30295,12,0,9
30296,30296,14,0,7
30297,30297,13,0,8
30298,30298,11,0,10
30299,30299,12,0,9
30300,30300,7,0,14
30301,30301,11,2,-8
30302,30302,15,0,6
30303,30303,10,0,11
30304,30304,15,2,-12
30305,30305,10,0,11
30306,30306,14,0,7
30307,30307,9,0,12
30308,30308,15,0,6
30309,30309,16,0,5
30310,30310,23,3,-29
30311,30311,19,1,-7
30312,30312,17,1,-5
30313,30313,15,0,6
30314,30314,17,1,-5
30315,30315,14,1,-2
30316,30316,16,0,5
30317,30317,15,0,6
30318,30318,12,0,9
30319,30319,11,0,10
30320,30320,12,0,9
30321,30321,15,0,6
30322,30322,12,0,9
30323,30323,18,0,3
30324,30324,19,0,2
30325,30325,15,1,-3
30326,30326,13,0,8
30327,30327,6,0,15
30328,30328,14,0,7
30329,30329,21,1,-9
30330,30330,14,0,7
30331,30331,13,0,8
30332,30332,9,0,12
30333,30333,18,0,3
30334,30334,14,0,7
30335,30335,14,0,7
30336,30336,16,0,5
30337,30337,16,2,-13
30338,30338,16,1,-4
30339,30339,12,1,0
30340,30340,16,1,-4
30341,30341,9,0,12
30342,30342,10,0,11
30343,30343,12,0,9
30344,30344,16,2,-13
30345,30345,15,0,6
30346,30346,20,0,1
30347,30347,16,1,-4
30348,30348,17,0,4
30349,30349,19,1,-7
30350,30350,19,2,-16
30351,30351,13,0,8
30352,30352,12,3,-18
30353,30353,14,0,7
30354,30354,17,0,4
30355,30355,17,2,-14
30356,30356,13,0,8
30357,30357,15,0,6
30358,30358,16,0,5
30359,30359,14,0,7
30360,30360,19,0,2
30361,30361,22,3,-28
30362,30362,9,0,12
30363,30363,17,2,-14
30364,30364,13,0,8
30365,30365,18,3,-24
30366,30366,19,0,2
30367,30367,19,1,-7
30368,30368,15,0,6
30369,30369,14,1,-2
30370,30370,17,1,-5
30371,30371,15,1,-3
30372,30372,17,0,4
30373,30373,20,1,-8
30374,30374,8,0,13
30375,30375,14,0,7
30376,30376,16,0,5
30377,30377,16,0,5
30378,30378,12,0,9
30379,30379,18,0,3
30380,30380,16,1,-4
30381,30381,15,0,6
30382,30382,18,0,3
30383,30383,14,0,7
30384,30384,7,0,14
30385,30385,13,1,-1
30386,30386,10,0,11
30387,30387,16,0,5
30388,30388,15,0,6
30389,30389,9,0,12
30390,30390,18,1,-6
30391,30391,10,0,11
30392,30392,15,0,6
30393,30393,11,0,10
30394,30394,13,0,8
30395,30395,14,0,7
30396,30396,9,1,3
30397,30397,14,0,7
30398,30398,14,0,7
30399,30399,21,3,-27
30400,30400,15,1,-3
30401,30401,18,0,3
30402,30402,13,0,8
30403,30403,10,0,11
30404,30404,16,0,5
30405,30405,17,1,-5
30406,30406,16,0,5
30407,30407,13,0,8
30408,30408,11,0,10
30409,30409,14,0,7
30410,30410,17,1,-5
30411,30411,21,3,-27
30412,30412,19,2,-16
30413,30413,13,0,8
30414,30414,14,0,7
30415,30415,17,1,-5
30416,30416,21,1,-9
30417,30417,18,1,-6
30418,30418,17,1,-5
30419,30419,11,0,10
30420,30420,9,0,12
30421,30421,12,0,9
30422,30422,18,0,3
30423,30423,14,1,-2
30424,30424,17,1,-5
30425,30425,11,0,10
30426,30426,9,0,12
30427,30427,21,1,-9
30428,30428,16,0,5
30429,30429,15,0,6
30430,30430,16,0,5
30431,30431,16,0,5
30432,30432,13,0,8
30433,30433,12,0,9
30434,30434,18,0,3
30435,30435,17,0,4
30436,30436,12,0,9
30437,30437,21,0,0
30438,30438,16,1,-4
30439,30439,14,0,7
30440,30440,22,0,-1
30441,30441,14,0,7
30442,30442,15,1,-3
30443,30443,14,1,-2
30444,30444,11,0,10
30445,30445,21,1,-9
30446,30446,11,0,10
30447,30447,16,0,5
30448,30448,17,0,4
30449,30449,17,0,4
30450,30450,14,1,-2
30451,30451,17,0,4
30452,30452,17,1,-5
30453,30453,13,1,-1
30454,30454,11,0,10
30455,30455,13,1,-1
30456,30456,9,0,12
30457,30457,9,0,12
30458,30458,17,0,4
30459,30459,15,0,6
30460,30460,15,0,6
30461,30461,14,2,-11
30462,30462,18,1,-6
30463,30463,12,0,9
30464,30464,12,1,0
30465,30465,19,1,-7
30466,30466,17,0,4
30467,30467,9,0,12
30468,30468,18,0,3
30469,30469,18,0,3
30470,30470,17,0,4
30471,30471,15,1,-3
30472,30472,17,0,4
30473,30473,15,0,6
30474,30474,15,1,-3
30475,30475,12,1,0
30476,30476,17,0,4
30477,30477,17,0,4
30478,30478,13,1,-1
30479,30479,16,0,5
30480,30480,18,1,-6
30481,30481,16,1,-4
30482,30482,20,1,-8
30483,30483,18,0,3
30484,30484,19,0,2
30485,30485,15,1,-3
30486,30486,13,1,-1
30487,30487,20,1,-8
30488,30488,11,0,10
30489,30489,12,1,0
30490,30490,17,1,-5
30491,30491,13,0,8
30492,30492,7,0,14
30493,30493,21,2,-18
30494,30494,10,0,11
30495,30495,10,0,11
30496,30496,11,0,10
30497,30497,15,0,6
30498,30498,10,1,2
30499,30499,13,0,8
30500,30500,19,1,-7
30501,30501,18,1,-6
30502,30502,14,0,7
30503,30503,18,1,-6
30504,30504,15,2,-12
30505,30505,15,0,6
30506,30506,9,0,12
30507,30507,12,0,9
30508,30508,18,1,-6
30509,30509,13,1,-1
30510,30510,19,1,-7
30511,30511,14,1,-2
30512,30512,17,1,-5
30513,30513,18,1,-6
30514,30514,14,0,7
30515,30515,17,1,-5
30516,30516,15,0,6
30517,30517,11,0,10
30518,30518,14,0,7
30519,30519,19,0,2
30520,30520,11,0,10
30521,30521,11,0,10
30522,30522,15,1,-3
30523,30523,11,0,10
30524,30524,9,0,12
30525,30525,21,1,-9
30526,30526,16,0,5
30527,30527,14,0,7
30528,30528,13,1,-1
30529,30529,19,1,-7
30530,30530,12,0,9
30531,30531,17,0,4
30532,30532,11,0,10
30533,30533,12,0,9
30534,30534,10,0,11
30535,30535,10,0,11
30536,30536,11,0,10
30537,30537,14,1,-2
30538,30538,18,0,3
30539,30539,15,1,-3
30540,30540,11,0,10
30541,30541,17,0,4
30542,30542,16,2,-13
30543,30543,10,0,11
30544,30544,13,0,8
30545,30545,16,1,-4
30546,30546,13,0,8
30547,30547,13,0,8
30548,30548,12,0,9
30549,30549,12,0,9
30550,30550,14,0,7
30551,30551,11,0,10
30552,30552,20,0,1
30553,30553,18,1,-6
30554,30554,12,0,9
30555,30555,17,1,-5
30556,30556,13,0,8
30557,30557,11,0,10
30558,30558,9,0,12
30559,30559,15,0,6
30560,30560,13,0,8
30561,30561,15,1,-3
30562,30562,15,0,6
30563,30563,14,1,-2
30564,30564,15,1,-3
30565,30565,16,0,5
30566,30566,17,1,-5
30567,30567,14,1,-2
30568,30568,15,0,6
30569,30569,16,0,5
30570,30570,11,0,10
30571,30571,14,1,-2
30572,30572,16,1,-4
30573,30573,12,1,0
30574,30574,9,0,12
30575,30575,15,0,6
30576,30576,17,1,-5
30577,30577,13,1,-1
30578,30578,13,0,8
30579,30579,15,0,6
30580,30580,15,1,-3
30581,30581,10,0,11
30582,30582,19,1,-7
30583,30583,10,0,11
30584,30584,13,1,-1
30585,30585,15,1,-3
30586,30586,18,0,3
30587,30587,14,0,7
30588,30588,18,0,3
30589,30589,12,0,9
30590,30590,15,1,-3
30591,30591,16,1,-4
30592,30592,13,0,8
30593,30593,15,0,6
30594,30594,10,0,11
30595,30595,6,0,15
30596,30596,10,0,11
30597,30597,7,0,14
30598,30598,13,1,-1
30599,30599,19,0,2
30600,30600,20,2,-17
30601,30601,14,1,-2
30602,30602,19,1,-7
30603,30603,19,1,-7
30604,30604,20,0,1
30605,30605,22,2,-19
30606,30606,22,0,-1
30607,30607,13,1,-1
30608,30608,12,0,9
30609,30609,12,0,9
30610,30610,20,0,1
30611,30611,13,0,8
30612,30612,17,0,4
30613,30613,14,0,7
30614,30614,12,0,9
30615,30615,14,1,-2
30616,30616,13,0,8
30617,30617,11,0,10
30618,30618,14,0,7
30619,30619,7,0,14
30620,30620,16,0,5
30621,30621,10,1,2
30622,30622,17,0,4
30623,30623,13,0,8
30624,30624,22,1,-10
30625,30625,14,1,-2
30626,30626,19,2,-16
30627,30627,16,0,5
30628,30628,12,0,9
30629,30629,16,0,5
30630,30630,18,1,-6
30631,30631,15,1,-3
30632,30632,11,1,1
30633,30633,16,0,5
